id,name,category,source_page_url,final_url,http_status,content_type,bytes,title,title_contains_name,body_contains_name,body_references_image_basename,source_revision_id,fetched_at_utc,attempts,error
currency_wars_equipment_015,诅咒•宝石剑泽尔里奇,fate_component,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,200,text/html; charset=UTF-8,153932,诅咒•宝石剑泽尔里奇 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:54.366268+00:00,2,
currency_wars_equipment_016,诅咒•干将莫邪,fate_component,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,200,text/html; charset=UTF-8,153170,诅咒•干将莫邪 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:54.378626+00:00,2,
currency_wars_equipment_017,诅咒•阿瓦隆,fate_component,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E9%98%BF%E7%93%A6%E9%9A%86,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E9%98%BF%E7%93%A6%E9%9A%86,200,text/html; charset=UTF-8,153150,诅咒•阿瓦隆 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:54.886096+00:00,2,
currency_wars_equipment_020,阿瓦隆,fate_component,https://wiki.biligame.com/sr/%E9%98%BF%E7%93%A6%E9%9A%86,,,,,,False,False,False,99085,2026-08-09T00:05:56.851322+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_021,欢愉星徽,style_emblem,https://wiki.biligame.com/sr/%E6%AC%A2%E6%84%89%E6%98%9F%E5%BE%BD,,,,,,False,False,False,99085,2026-08-09T00:05:57.228663+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_022,分身墨镜,hacking_component,https://wiki.biligame.com/sr/%E5%88%86%E8%BA%AB%E5%A2%A8%E9%95%9C,,,,,,False,False,False,99085,2026-08-09T00:05:57.412933+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_023,分身墨镜Max,hacking_component,https://wiki.biligame.com/sr/%E5%88%86%E8%BA%AB%E5%A2%A8%E9%95%9CMax,,,,,,False,False,False,99085,2026-08-09T00:05:57.486508+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_024,扑满病毒,hacking_component,https://wiki.biligame.com/sr/%E6%89%91%E6%BB%A1%E7%97%85%E6%AF%92,,,,,,False,False,False,99085,2026-08-09T00:05:57.478869+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_025,扑满病毒Max,hacking_component,https://wiki.biligame.com/sr/%E6%89%91%E6%BB%A1%E7%97%85%E6%AF%92Max,,,,,,False,False,False,99085,2026-08-09T00:05:57.479909+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_026,扑满病毒Pro,hacking_component,https://wiki.biligame.com/sr/%E6%89%91%E6%BB%A1%E7%97%85%E6%AF%92Pro,,,,,,False,False,False,99085,2026-08-09T00:05:57.704358+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_027,数据拷贝仪,hacking_component,https://wiki.biligame.com/sr/%E6%95%B0%E6%8D%AE%E6%8B%B7%E8%B4%9D%E4%BB%AA,,,,,,False,False,False,99085,2026-08-09T00:05:57.992497+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_028,数据拷贝仪Max,hacking_component,https://wiki.biligame.com/sr/%E6%95%B0%E6%8D%AE%E6%8B%B7%E8%B4%9D%E4%BB%AAMax,,,,,,False,False,False,99085,2026-08-09T00:05:59.944610+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_029,数据拷贝仪Pro,hacking_component,https://wiki.biligame.com/sr/%E6%95%B0%E6%8D%AE%E6%8B%B7%E8%B4%9D%E4%BB%AAPro,,,,,,False,False,False,99085,2026-08-09T00:06:00.351333+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_030,星核猎手卡带,hacking_component,https://wiki.biligame.com/sr/%E6%98%9F%E6%A0%B8%E7%8C%8E%E6%89%8B%E5%8D%A1%E5%B8%A6,,,,,,False,False,False,99085,2026-08-09T00:06:00.534204+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_031,星核猎手卡带Max,hacking_component,https://wiki.biligame.com/sr/%E6%98%9F%E6%A0%B8%E7%8C%8E%E6%89%8B%E5%8D%A1%E5%B8%A6Max,,,,,,False,False,False,99085,2026-08-09T00:06:00.591684+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_032,欢愉卡带,hacking_component,https://wiki.biligame.com/sr/%E6%AC%A2%E6%84%89%E5%8D%A1%E5%B8%A6,,,,,,False,False,False,99085,2026-08-09T00:06:00.556446+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_033,欢愉卡带Max,hacking_component,https://wiki.biligame.com/sr/%E6%AC%A2%E6%84%89%E5%8D%A1%E5%B8%A6Max,,,,,,False,False,False,99085,2026-08-09T00:06:00.573664+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_034,病毒防火墙,hacking_component,https://wiki.biligame.com/sr/%E7%97%85%E6%AF%92%E9%98%B2%E7%81%AB%E5%A2%99,,,,,,False,False,False,99085,2026-08-09T00:06:00.797097+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_035,病毒防火墙Max,hacking_component,https://wiki.biligame.com/sr/%E7%97%85%E6%AF%92%E9%98%B2%E7%81%AB%E5%A2%99Max,,,,,,False,False,False,99085,2026-08-09T00:06:01.112768+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_036,破解芯片,hacking_component,https://wiki.biligame.com/sr/%E7%A0%B4%E8%A7%A3%E8%8A%AF%E7%89%87,,,,,,False,False,False,99085,2026-08-09T00:06:03.062462+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_037,管理员手套ProMax,hacking_component,https://wiki.biligame.com/sr/%E7%AE%A1%E7%90%86%E5%91%98%E6%89%8B%E5%A5%97ProMax,,,,,,False,False,False,99085,2026-08-09T00:06:03.439306+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_038,垃圾袋,special_material,https://wiki.biligame.com/sr/%E5%9E%83%E5%9C%BE%E8%A2%8B,,,,,,False,False,False,99085,2026-08-09T00:06:03.678905+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_039,金垃圾袋,special_material,https://wiki.biligame.com/sr/%E9%87%91%E5%9E%83%E5%9C%BE%E8%A2%8B,,,,,,False,False,False,99085,2026-08-09T00:06:03.873582+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_040,以太钻头,basic,https://wiki.biligame.com/sr/%E4%BB%A5%E5%A4%AA%E9%92%BB%E5%A4%B4,,,,,,False,False,False,99085,2026-08-09T00:06:03.656405+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_041,光能电池,basic,https://wiki.biligame.com/sr/%E5%85%89%E8%83%BD%E7%94%B5%E6%B1%A0,,,,,,False,False,False,99085,2026-08-09T00:06:03.688116+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_042,和平手枪,basic,https://wiki.biligame.com/sr/%E5%92%8C%E5%B9%B3%E6%89%8B%E6%9E%AA,,,,,,False,False,False,99085,2026-08-09T00:06:03.905750+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_043,幸运星,basic,https://wiki.biligame.com/sr/%E5%B9%B8%E8%BF%90%E6%98%9F,,,,,,False,False,False,99085,2026-08-09T00:06:04.255300+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_044,折叠小刀,basic,https://wiki.biligame.com/sr/%E6%8A%98%E5%8F%A0%E5%B0%8F%E5%88%80,,,,,,False,False,False,99085,2026-08-09T00:06:06.212826+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_045,生命之花,basic,https://wiki.biligame.com/sr/%E7%94%9F%E5%91%BD%E4%B9%8B%E8%8A%B1,,,,,,False,False,False,99085,2026-08-09T00:06:06.552585+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_046,轮滑鞋,basic,https://wiki.biligame.com/sr/%E8%BD%AE%E6%BB%91%E9%9E%8B,,,,,,False,False,False,99085,2026-08-09T00:06:06.752308+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_047,量产型装甲,basic,https://wiki.biligame.com/sr/%E9%87%8F%E4%BA%A7%E5%9E%8B%E8%A3%85%E7%94%B2,,,,,,False,False,False,99085,2026-08-09T00:06:06.787683+00:00,3,HTTPError: HTTP Error 567: Unknown Status
