id,name,category,source_page_url,source_url,local_path,declared_sha256,local_sha256,local_bytes,local_width,local_height,http_status,content_type,final_url,remote_sha256,remote_bytes,remote_width,remote_height,remote_format,declared_matches_local,remote_matches_local,dimensions_match,error,attempts
currency_wars_equipment_135,护盾星徽,style_emblem,https://wiki.biligame.com/sr/%E6%8A%A4%E7%9B%BE%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/3/37/mao35lg1cseoabbpvbv7l6i2x42c1d1.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_135.png,bc44eee255bb1d4f622ffb9bbe1da30f5b6b594ddf60c3a72e885736878c24d8,bc44eee255bb1d4f622ffb9bbe1da30f5b6b594ddf60c3a72e885736878c24d8,24888,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/3/37/mao35lg1cseoabbpvbv7l6i2x42c1d1.png,bc44eee255bb1d4f622ffb9bbe1da30f5b6b594ddf60c3a72e885736878c24d8,24888,128,128,PNG,True,True,True,,1
currency_wars_equipment_136,持续伤害星徽,style_emblem,https://wiki.biligame.com/sr/%E6%8C%81%E7%BB%AD%E4%BC%A4%E5%AE%B3%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/a/ad/ivtu3g97uenx0kqgjtc4i10hw31wvv2.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_136.png,725f266ea49995ee8f41806ec5cf20b7c3a0bc0ca8cd50d083022d166b3aa3cc,725f266ea49995ee8f41806ec5cf20b7c3a0bc0ca8cd50d083022d166b3aa3cc,27559,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/a/ad/ivtu3g97uenx0kqgjtc4i10hw31wvv2.png,725f266ea49995ee8f41806ec5cf20b7c3a0bc0ca8cd50d083022d166b3aa3cc,27559,128,128,PNG,True,True,True,,1
currency_wars_equipment_137,治疗星徽,style_emblem,https://wiki.biligame.com/sr/%E6%B2%BB%E7%96%97%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/1/14/ff8v3eqgtwxnw7if42twnvxijhyiuwd.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_137.png,9bbeb50daf0a95e2ce786c53f82303d2d40ad7bc3eefd9653f701867f922aacf,9bbeb50daf0a95e2ce786c53f82303d2d40ad7bc3eefd9653f701867f922aacf,24766,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/1/14/ff8v3eqgtwxnw7if42twnvxijhyiuwd.png,9bbeb50daf0a95e2ce786c53f82303d2d40ad7bc3eefd9653f701867f922aacf,24766,128,128,PNG,True,True,True,,1
currency_wars_equipment_138,燃血星徽,style_emblem,https://wiki.biligame.com/sr/%E7%87%83%E8%A1%80%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/5/5e/opcd5d3mm9ij4o4mpw9ciyb46c7ny25.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_138.png,8003530a04476b75315bda28e9874c06a97faef18906c0fe57e11954930445f5,8003530a04476b75315bda28e9874c06a97faef18906c0fe57e11954930445f5,26359,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/5/5e/opcd5d3mm9ij4o4mpw9ciyb46c7ny25.png,8003530a04476b75315bda28e9874c06a97faef18906c0fe57e11954930445f5,26359,128,128,PNG,True,True,True,,1
currency_wars_equipment_139,群攻星徽,style_emblem,https://wiki.biligame.com/sr/%E7%BE%A4%E6%94%BB%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/e/e6/kt8zr4eug1g4fgqke749w70e0ocmwa6.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_139.png,97668b0024b2fe93b402593edc60fe012573248ccd6c6d0197abbd00317c7647,97668b0024b2fe93b402593edc60fe012573248ccd6c6d0197abbd00317c7647,26370,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/e/e6/kt8zr4eug1g4fgqke749w70e0ocmwa6.png,97668b0024b2fe93b402593edc60fe012573248ccd6c6d0197abbd00317c7647,26370,128,128,PNG,True,True,True,,1
currency_wars_equipment_140,能量星徽,style_emblem,https://wiki.biligame.com/sr/%E8%83%BD%E9%87%8F%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/d/da/50uqdwdxpy277ilhqvqyxzcko0nz1gw.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_140.png,6bf18d593f86e4963b0ac3862024e6a45424db064e41a5fe8dc55cb91f7dec5f,6bf18d593f86e4963b0ac3862024e6a45424db064e41a5fe8dc55cb91f7dec5f,25558,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/d/da/50uqdwdxpy277ilhqvqyxzcko0nz1gw.png,6bf18d593f86e4963b0ac3862024e6a45424db064e41a5fe8dc55cb91f7dec5f,25558,128,128,PNG,True,True,True,,1
currency_wars_equipment_141,追击星徽,style_emblem,https://wiki.biligame.com/sr/%E8%BF%BD%E5%87%BB%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/d/dd/mfq8mgtwupqqbp5v4nbftz4dw581c7y.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_141.png,665cbd400c31a3fc7c53968301bbee428275924775d69d0848d631924c94c4cd,665cbd400c31a3fc7c53968301bbee428275924775d69d0848d631924c94c4cd,25965,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/d/dd/mfq8mgtwupqqbp5v4nbftz4dw581c7y.png,665cbd400c31a3fc7c53968301bbee428275924775d69d0848d631924c94c4cd,25965,128,128,PNG,True,True,True,,1
currency_wars_equipment_142,量子同频星徽,style_emblem,https://wiki.biligame.com/sr/%E9%87%8F%E5%AD%90%E5%90%8C%E9%A2%91%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/1/19/bkvzoohw5g9n06c2rufyqhytuevu5vx.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_142.png,cea8385b73e582e4c3ce4889fdc34ee4bdef30e897e43d077fc9f751015b2ca2,cea8385b73e582e4c3ce4889fdc34ee4bdef30e897e43d077fc9f751015b2ca2,25361,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/1/19/bkvzoohw5g9n06c2rufyqhytuevu5vx.png,cea8385b73e582e4c3ce4889fdc34ee4bdef30e897e43d077fc9f751015b2ca2,25361,128,128,PNG,True,True,True,,1
currency_wars_equipment_143,极•白昼•光速螺旋桨,bond_equipment,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E7%99%BD%E6%98%BC%E2%80%A2%E5%85%89%E9%80%9F%E8%9E%BA%E6%97%8B%E6%A1%A8,https://patchwiki.biligame.com/images/sr/2/2f/tuj9v192vmobh7xslh16kbia0uurl7q.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_143.png,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,31526,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/2/2f/tuj9v192vmobh7xslh16kbia0uurl7q.png,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,31526,128,128,PNG,True,True,True,,1
currency_wars_equipment_144,极•白昼•斩首行动,bond_equipment,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E7%99%BD%E6%98%BC%E2%80%A2%E6%96%A9%E9%A6%96%E8%A1%8C%E5%8A%A8,https://patchwiki.biligame.com/images/sr/5/52/pz3qe0xci2okxgu51qyp9zur7ejpert.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_144.png,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,31190,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/5/52/pz3qe0xci2okxgu51qyp9zur7ejpert.png,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,31190,128,128,PNG,True,True,True,,1
