id,name,category,icon_path,declared_sha256,work_exists,work_sha256,handoff_source_exists,handoff_source_sha256,handoff_program_exists,handoff_program_sha256,all_three_match_declared,file_name_matches_id,base_equipment_id,base_reference_exists,component_ids,component_references_exist
currency_wars_equipment_057,很硬的甲,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_057.png,fe7118a0d80b31261cc4d653850bc491820b4c1be3ba1dedf59a73cdf8eb8618,True,fe7118a0d80b31261cc4d653850bc491820b4c1be3ba1dedf59a73cdf8eb8618,True,fe7118a0d80b31261cc4d653850bc491820b4c1be3ba1dedf59a73cdf8eb8618,True,fe7118a0d80b31261cc4d653850bc491820b4c1be3ba1dedf59a73cdf8eb8618,True,True,,True,currency_wars_equipment_047;currency_wars_equipment_047,True
currency_wars_equipment_058,战场进化手册,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_058.png,ceb9c15bd35a9524343fec674b485fc4c2695d6bc659a7a2ec311d65e9c4e78e,True,ceb9c15bd35a9524343fec674b485fc4c2695d6bc659a7a2ec311d65e9c4e78e,True,ceb9c15bd35a9524343fec674b485fc4c2695d6bc659a7a2ec311d65e9c4e78e,True,ceb9c15bd35a9524343fec674b485fc4c2695d6bc659a7a2ec311d65e9c4e78e,True,True,,True,currency_wars_equipment_041;currency_wars_equipment_044,True
currency_wars_equipment_059,掩体生成枪,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_059.png,141d508a6fdef1b32355695aae4ce660ce2ab31ddd97f7a353192992fc7b6c83,True,141d508a6fdef1b32355695aae4ce660ce2ab31ddd97f7a353192992fc7b6c83,True,141d508a6fdef1b32355695aae4ce660ce2ab31ddd97f7a353192992fc7b6c83,True,141d508a6fdef1b32355695aae4ce660ce2ab31ddd97f7a353192992fc7b6c83,True,True,,True,currency_wars_equipment_045;currency_wars_equipment_042,True
currency_wars_equipment_060,斩首行动,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_060.png,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,True,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,True,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,True,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,True,True,,True,currency_wars_equipment_040;currency_wars_equipment_042,True
currency_wars_equipment_061,杀红眼,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_061.png,f521d20bc46c8e46893fa4ebed01e15fdc6732e627607eaaf062680cad852b7b,True,f521d20bc46c8e46893fa4ebed01e15fdc6732e627607eaaf062680cad852b7b,True,f521d20bc46c8e46893fa4ebed01e15fdc6732e627607eaaf062680cad852b7b,True,f521d20bc46c8e46893fa4ebed01e15fdc6732e627607eaaf062680cad852b7b,True,True,,True,currency_wars_equipment_045;currency_wars_equipment_044,True
currency_wars_equipment_062,步步生花,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_062.png,4c8eae7c74f190fa5c1fd125f6edcf48bf821f2363f91e4ab6774e0fbb20b8b7,True,4c8eae7c74f190fa5c1fd125f6edcf48bf821f2363f91e4ab6774e0fbb20b8b7,True,4c8eae7c74f190fa5c1fd125f6edcf48bf821f2363f91e4ab6774e0fbb20b8b7,True,4c8eae7c74f190fa5c1fd125f6edcf48bf821f2363f91e4ab6774e0fbb20b8b7,True,True,,True,currency_wars_equipment_045;currency_wars_equipment_046,True
currency_wars_equipment_063,武器大师,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_063.png,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,True,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,True,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,True,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,True,True,,True,currency_wars_equipment_042;currency_wars_equipment_044,True
currency_wars_equipment_064,永动机,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_064.png,20f77f28e219c512cc588f109f488b5ea091da115a8a98ad2968abfc39b6ea7e,True,20f77f28e219c512cc588f109f488b5ea091da115a8a98ad2968abfc39b6ea7e,True,20f77f28e219c512cc588f109f488b5ea091da115a8a98ad2968abfc39b6ea7e,True,20f77f28e219c512cc588f109f488b5ea091da115a8a98ad2968abfc39b6ea7e,True,True,,True,currency_wars_equipment_041;currency_wars_equipment_041,True
currency_wars_equipment_065,流星飞翼,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_065.png,563ed7f4a54407f1b8ee88e837789e264cb59f4cb17de0460115d5f747796d4b,True,563ed7f4a54407f1b8ee88e837789e264cb59f4cb17de0460115d5f747796d4b,True,563ed7f4a54407f1b8ee88e837789e264cb59f4cb17de0460115d5f747796d4b,True,563ed7f4a54407f1b8ee88e837789e264cb59f4cb17de0460115d5f747796d4b,True,True,,True,currency_wars_equipment_047;currency_wars_equipment_046,True
currency_wars_equipment_066,火力风暴潮,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_066.png,3f53c178daa9ce82877b9e7bf4d39f0dcac781e269e892b800f0551c68d6f548,True,3f53c178daa9ce82877b9e7bf4d39f0dcac781e269e892b800f0551c68d6f548,True,3f53c178daa9ce82877b9e7bf4d39f0dcac781e269e892b800f0551c68d6f548,True,3f53c178daa9ce82877b9e7bf4d39f0dcac781e269e892b800f0551c68d6f548,True,True,,True,currency_wars_equipment_044;currency_wars_equipment_046,True
currency_wars_equipment_067,热血沸腾拳,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_067.png,111a5d051a9c8ceea2486d22098c6f919130418e525d151f6098ce9fa1625389,True,111a5d051a9c8ceea2486d22098c6f919130418e525d151f6098ce9fa1625389,True,111a5d051a9c8ceea2486d22098c6f919130418e525d151f6098ce9fa1625389,True,111a5d051a9c8ceea2486d22098c6f919130418e525d151f6098ce9fa1625389,True,True,,True,currency_wars_equipment_045;currency_wars_equipment_043,True
currency_wars_equipment_068,物质分解液,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_068.png,4204a0b84679223ecf29a6ca036e6aa95957cf6cd33512c64e55e6ae576dbb2e,True,4204a0b84679223ecf29a6ca036e6aa95957cf6cd33512c64e55e6ae576dbb2e,True,4204a0b84679223ecf29a6ca036e6aa95957cf6cd33512c64e55e6ae576dbb2e,True,4204a0b84679223ecf29a6ca036e6aa95957cf6cd33512c64e55e6ae576dbb2e,True,True,,True,currency_wars_equipment_040;currency_wars_equipment_045,True
currency_wars_equipment_069,生命之环,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_069.png,f61a5944c98c2e3d9db314585345c0e673df145de7ce9ba27cea447c8d9d2220,True,f61a5944c98c2e3d9db314585345c0e673df145de7ce9ba27cea447c8d9d2220,True,f61a5944c98c2e3d9db314585345c0e673df145de7ce9ba27cea447c8d9d2220,True,f61a5944c98c2e3d9db314585345c0e673df145de7ce9ba27cea447c8d9d2220,True,True,,True,currency_wars_equipment_045;currency_wars_equipment_045,True
currency_wars_equipment_070,电光履,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_070.png,88a4334ec2c83711532325576281581f338b1b709b968407b0c90458cf2b63b8,True,88a4334ec2c83711532325576281581f338b1b709b968407b0c90458cf2b63b8,True,88a4334ec2c83711532325576281581f338b1b709b968407b0c90458cf2b63b8,True,88a4334ec2c83711532325576281581f338b1b709b968407b0c90458cf2b63b8,True,True,,True,currency_wars_equipment_041;currency_wars_equipment_046,True
currency_wars_equipment_071,电磁弹射器,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_071.png,4a5f98d5703c2f8ec46dd348a41161178ef6976ea790711cc3bef4331708ec47,True,4a5f98d5703c2f8ec46dd348a41161178ef6976ea790711cc3bef4331708ec47,True,4a5f98d5703c2f8ec46dd348a41161178ef6976ea790711cc3bef4331708ec47,True,4a5f98d5703c2f8ec46dd348a41161178ef6976ea790711cc3bef4331708ec47,True,True,,True,currency_wars_equipment_042;currency_wars_equipment_046,True
currency_wars_equipment_072,痛觉阻断芯片,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_072.png,0e381740b644f074d8d57a640343a5197bba7c3469149f96c7d6bae8ea2d124b,True,0e381740b644f074d8d57a640343a5197bba7c3469149f96c7d6bae8ea2d124b,True,0e381740b644f074d8d57a640343a5197bba7c3469149f96c7d6bae8ea2d124b,True,0e381740b644f074d8d57a640343a5197bba7c3469149f96c7d6bae8ea2d124b,True,True,,True,currency_wars_equipment_047;currency_wars_equipment_045,True
currency_wars_equipment_073,碎星斩舰刀,advanced,assets/currency_wars_equipment_icons/currency_wars_equipment_073.png,bc53b2f878f643ce96519b04075f5e3d9301249e8c703dbeafc2c83098710fea,True,bc53b2f878f643ce96519b04075f5e3d9301249e8c703dbeafc2c83098710fea,True,bc53b2f878f643ce96519b04075f5e3d9301249e8c703dbeafc2c83098710fea,True,bc53b2f878f643ce96519b04075f5e3d9301249e8c703dbeafc2c83098710fea,True,True,,True,currency_wars_equipment_044;currency_wars_equipment_044,True
